month,market_return,SMB,VMG,RF,annual_deposit_rate_percent,MKT
2000-01-31,0.14554546063035464,-0.00426011245495167,-0.005930869866085514,0.001855937535336194,2.25,0.14368952309501845
2000-02-29,0.12015324234070433,0.008417895040592635,-0.0734436382096135,0.001855937535336194,2.25,0.11829730480536814
2000-03-31,0.04748885067445991,0.06435107794374485,-0.007183709053499132,0.001855937535336194,2.25,0.04563291313912372
2000-04-30,0.017883242821598463,-0.010547688361596363,0.025037434558562617,0.001855937535336194,2.25,0.01602730528626227
2000-05-31,0.023498953190654575,0.020818631389015223,0.018105435956139337,0.001855937535336194,2.25,0.02164301565531838
2000-06-30,0.02500888445288735,0.009385928401596758,0.07150826822581106,0.001855937535336194,2.25,0.023152946917551157
2000-07-31,0.04451554111126353,0.01446593741324987,0.019109496475975443,0.001855937535336194,2.25,0.04265960357592734
2000-08-31,-0.015051390120665666,0.014093608728182709,-0.03411308611105304,0.001855937535336194,2.25,-0.01690732765600186
2000-09-30,-0.05296999624505772,0.01250672511512145,-0.011847808336053756,0.001855937535336194,2.25,-0.054825933780393916
2000-10-31,0.018928611438520693,0.02607121325510109,-0.0017888305661925633,0.001855937535336194,2.25,0.0170726739031845
2000-11-30,0.05816202182719976,0.013706776341954156,0.017484804636341278,0.001855937535336194,2.25,0.05630608429186357
2000-12-31,-0.006215863829992428,0.021074051819504693,0.012111260947257091,0.001855937535336194,2.25,-0.008071801365328621
2001-01-31,-0.00977460138109211,0.0038424659769318295,0.022259097307336884,0.001855937535336194,2.25,-0.011630538916428304
2001-02-28,-0.057779142784443946,0.0010572022027015016,0.03755443194700715,0.001855937535336194,2.25,-0.05963508031978014
2001-03-31,0.06876652613046927,0.011753908938124058,-0.014809749223778645,0.001855937535336194,2.25,0.06691058859513307
2001-04-30,-0.010291796108307912,0.008384430107355349,-0.025889502240116595,0.001855937535336194,2.25,-0.012147733643644106
2001-05-31,0.029653832049509627,0.01800561508182522,-0.04026735029059646,0.001855937535336194,2.25,0.027797894514173433
2001-06-30,0.00399661571235999,0.015245141189259738,0.03325247312292616,0.001855937535336194,2.25,0.002140678177023796
2001-07-31,-0.1313078631228157,-0.010216118128854507,-0.0029567753593346957,0.001855937535336194,2.25,-0.1331638006581519
2001-08-31,-0.0380587485459434,-0.003143612375631405,-0.006560316206810635,0.001855937535336194,2.25,-0.03991468608127959
2001-09-30,-0.04445039535460248,-0.007588091353847207,0.03579148509917021,0.001855937535336194,2.25,-0.04630633288993868
2001-10-31,-0.044634727716464234,-0.019214888687419295,-0.009762795402202928,0.001855937535336194,2.25,-0.04649066525180043
2001-11-30,0.03745789633736767,0.020290315343080442,0.011798588332254736,0.001855937535336194,2.25,0.03560195880203148
2001-12-31,-0.06097787561214211,-0.009992188860967317,0.05474783478933194,0.001855937535336194,2.25,-0.0628338131474783
2002-01-31,-0.09769706306640356,-0.036610785002555254,0.052130115629920176,0.001855937535336194,2.25,-0.09955300060173976
2002-02-28,0.023899497876637664,0.022200671809594317,0.0003517109134761054,0.001635212974954614,1.98,0.02226428490168305
2002-03-31,0.056556979046080036,0.027568619033654,-0.02872236382849394,0.001635212974954614,1.98,0.05492176607112542
2002-04-30,0.04255758287923921,0.002186749678766156,-0.03309879885632288,0.001635212974954614,1.98,0.0409223699042846
2002-05-31,-0.08521377709763722,-0.012251933599171538,-0.01506314563547069,0.001635212974954614,1.98,-0.08684899007259184
2002-06-30,0.14431110467015953,-0.031636981739927114,0.005295521096098876,0.001635212974954614,1.98,0.14267589169520492
2002-07-31,-0.04425414451437802,0.009382842746731894,0.01618276755942996,0.001635212974954614,1.98,-0.045889357489332636
2002-08-31,0.009433500437737637,-0.005427908980171877,0.004736185786501399,0.001635212974954614,1.98,0.007798287462783023
2002-09-30,-0.051995488224563194,-0.009723000517737342,0.00594809806704414,0.001635212974954614,1.98,-0.05363070119951781
2002-10-31,-0.04820929509535861,-0.012237737809958106,-0.003649620283339955,0.001635212974954614,1.98,-0.04984450807031322
2002-11-30,-0.05327306027710008,-0.03138707582824364,0.028123086452163895,0.001635212974954614,1.98,-0.0549082732520547
2002-12-31,-0.051767643054433356,0.0009521278752941884,0.009373316218135544,0.001635212974954614,1.98,-0.05340285602938797
2003-01-31,0.09554481331035265,0.014206582703760864,0.01904412822637809,0.001635212974954614,1.98,0.09390960033539804
2003-02-28,0.007548868317525669,0.009191373721041993,-0.0026252542147456853,0.001635212974954614,1.98,0.005913655342571055
2003-03-31,-0.0007515638024605632,-0.025788976417443658,0.04031823230959078,0.001635212974954614,1.98,-0.002386776777415177
2003-04-30,0.008102705055647216,-0.04470167266970915,0.07482569879714064,0.001635212974954614,1.98,0.006467492080692602
2003-05-31,0.0430302463113288,-0.002340213112012844,0.011297523146290532,0.001635212974954614,1.98,0.04139503333637418
2003-06-30,-0.06002971631021392,-0.0034839268729705136,0.029626018263272123,0.001635212974954614,1.98,-0.061664929285168535
2003-07-31,-0.006895622690417867,-0.022233035892783762,0.03514788978097427,0.001635212974954614,1.98,-0.00853083566537248
2003-08-31,-0.03619014919521578,0.006109448375667858,-0.01426838716867957,0.001635212974954614,1.98,-0.03782536217017039
2003-09-30,-0.04236622772162952,0.0025025879396936984,-0.001015529414544955,0.001635212974954614,1.98,-0.04400144069658413
2003-10-31,-0.012819440704383055,-0.036217586311083766,0.09969274073821607,0.001635212974954614,1.98,-0.014454653679337669
2003-11-30,0.029169169061122248,0.004475772793804601,0.017313660828440595,0.001635212974954614,1.98,0.027533956086167634
2003-12-31,0.06712077970459843,-0.05921113977608603,0.112143056894226,0.001635212974954614,1.98,0.06548556672964381
2004-01-31,0.059481515689370594,0.04250189945096331,-0.0016401715083303459,0.001635212974954614,1.98,0.05784630271441598
2004-02-29,0.06135016706087976,0.032782907073909184,-0.0364556430666193,0.001635212974954614,1.98,0.05971495408592514
2004-03-31,0.03983983622441506,0.020363267870122204,0.02647236301105059,0.001635212974954614,1.98,0.038204623249460445
2004-04-30,-0.09055304302799448,0.009936370934405664,0.0486190621006979,0.001635212974954614,1.98,-0.0921882560029491
2004-05-31,-0.025012318915910596,0.008108849759179061,-0.014012401071675114,0.001635212974954614,1.98,-0.02664753189086521
2004-06-30,-0.0978469472278187,-0.020856034696679335,0.05143759259592441,0.001635212974954614,1.98,-0.09948216020277331
2004-07-31,-0.0032147133015581926,-0.00486435996301084,0.036678377031560586,0.001635212974954614,1.98,-0.004849926276512807
2004-08-31,-0.03295438164599544,-0.003707870899382605,0.042565337381997095,0.001635212974954614,1.98,-0.03458959462095006
2004-09-30,0.0473510666769607,0.014250053067671076,0.037817218440497125,0.001635212974954614,1.98,0.045715853702006086
2004-10-31,-0.05346646877123626,-0.007441878211596212,0.025110749427052652,0.001855937535336194,2.25,-0.05532240630657245
2004-11-30,0.012087561396228623,0.032741734937455025,-0.03513529902392373,0.001855937535336194,2.25,0.010231623860892429
2004-12-31,-0.05752426998507415,-0.01376459646539635,0.05474668388385476,0.001855937535336194,2.25,-0.059380207520410344
2005-01-31,-0.061752774812006625,-0.01109516600650337,0.015073289545201513,0.001855937535336194,2.25,-0.06360871234734282
2005-02-28,0.09637935794119218,0.021393434279678103,0.026037674662275495,0.001855937535336194,2.25,0.09452342040585598
2005-03-31,-0.0926518325890325,-0.02898547622122863,0.05023542131861225,0.001855937535336194,2.25,-0.0945077701243687
2005-04-30,-0.02070772936101141,-0.0396836737063153,0.06457894477717897,0.001855937535336194,2.25,-0.022563666896347603
2005-05-31,-0.08551127106791719,0.05122674986486857,-0.04715646082714578,0.001855937535336194,2.25,-0.08736720860325338
2005-06-30,0.018313438482326257,-0.012522627600945973,0.050002330597067726,0.001855937535336194,2.25,0.016457500946990063
2005-07-31,0.0008287922784574857,-0.06368778344034796,0.08628806286023302,0.001855937535336194,2.25,-0.0010271452568787083
2005-08-31,0.08622451495232693,0.06895077116509006,-0.044675849096527886,0.001855937535336194,2.25,0.08436857741699073
2005-09-30,-0.004466826017871244,0.030876614915192523,0.027722531319075337,0.001855937535336194,2.25,-0.006322763553207438
2005-10-31,-0.05458900851605273,-0.0040272116758234,0.012363323869273496,0.001855937535336194,2.25,-0.056444946051388924
2005-11-30,0.004804414902110648,0.009737573255669325,-0.00826290265828376,0.001855937535336194,2.25,0.0029484773667744543
2005-12-31,0.06401907105558861,-0.0349382567813923,0.04866589378510068,0.001855937535336194,2.25,0.06216313352025242
2006-01-31,0.08836130774445339,-0.0063686177753996265,-0.0024793584139310154,0.001855937535336194,2.25,0.0865053702091172
2006-02-28,0.03737823415914753,-0.011696059976007065,-0.010973901828747912,0.001855937535336194,2.25,0.03552229662381134
2006-03-31,0.006642245800990649,-0.00013920549885948746,0.021990674180474745,0.001855937535336194,2.25,0.004786308265654455
2006-04-30,0.11664759093816374,-0.019553587332844444,0.03851181014125661,0.001855937535336194,2.25,0.11479165340282754
2006-05-31,0.15923817397115939,0.10664449404231188,-0.05408692180085342,0.001855937535336194,2.25,0.1573822364358232
2006-06-30,0.025543284272461674,0.05129636957169065,0.03001075789473632,0.001855937535336194,2.25,0.02368734673712548
2006-07-31,-0.06588419778074232,0.040505329131025516,-0.0208907538407457,0.001855937535336194,2.25,-0.06774013531607852
2006-08-31,0.039696561022174844,-0.011435401716045773,0.006970074928649483,0.0020761284687424997,2.52,0.037620432553432344
2006-09-30,0.04738287287134886,-0.004034443143757074,-0.02281842546440918,0.0020761284687424997,2.52,0.04530674440260636
2006-10-31,0.030315955445837078,-0.014776585309167721,0.09296305460145474,0.0020761284687424997,2.52,0.028239826977094578
2006-11-30,0.14887127487868984,-0.10350870912322677,0.0652739136154901,0.0020761284687424997,2.52,0.14679514640994734
2006-12-31,0.14181098259931801,-0.08513567501101496,0.06409112230015715,0.0020761284687424997,2.52,0.13973485413057551
2007-01-31,0.17849601528443865,0.07920662748510018,0.003393736493603694,0.0020761284687424997,2.52,0.17641988681569615
2007-02-28,0.06078127383239922,0.1192529654919388,-0.09499401942932054,0.0020761284687424997,2.52,0.05870514536365672
2007-03-31,0.11441066724907499,0.05929515081600037,-0.03460687200828247,0.0022957884655714356,2.79,0.11211487878350355
2007-04-30,0.23815066956252492,0.06364983382975903,-0.1444581218660722,0.0022957884655714356,2.79,0.2358548810969535
2007-05-31,0.09585595519656905,-0.019816563689205313,-0.0021563233273935722,0.0025149201956327083,3.06,0.09334103500093634
2007-06-30,-0.08920428643106795,-0.06291810038839725,0.12702424946838947,0.0025149201956327083,3.06,-0.09171920662670066
